id,naslov,avtor,ocena_kritikov,leto,ocena_ljudi
553,Transference,Spoon,80,2010,84
554,Changes,Charles Bradley,80,2016,76
555,My Maudlin Career,Camera Obscura,80,2009,89
556,The Snake,Wildbirds & Peacedrums,80,2009,83
557,Cupid's Head,The Field,80,2013,78
558,Dragging A Dead Deer Up A Hill,Grouper,80,2008,91
559,The Golden Age,American Music Club,80,2008,81
561,Mic Tyson,Sean Price,80,2012,80
562,The Hum,Hookworms,80,2014,78
563,Songs From The Year Of Our Demise,Jon Auer,80,2006,83
564,Stay Gold,First Aid Kit,80,2014,78
565,The Return To Form Black Majick Party,Pop Levi,80,2007,77
566,Goodbye Bread,Ty Segall,80,2011,87
567,Earthly Delights,Lightning Bolt,80,2009,73
568,The Wedding,Oneida,80,2005,73
569,Street's Disciple,Nas,80,2004,86
570,Pig Lib,Stephen Malkmus,80,2003,88
571,The Execution of All Things,Rilo Kiley,80,2002,89
572,Mama's Gun,Erykah Badu,80,2000,90
573,Private Suit,Bettie Serveert,80,2000,73
574,"There Is a Hell, Believe Me I've Seen It, There is a Heaven, Let's Keep It a Secret",Bring Me the Horizon,80,2010,85
575,Begin To Hope,Regina Spektor,80,2006,90
576,Everything in Between,No Age,80,2010,79
577,Reflektor,Arcade Fire,80,2013,87
578,IRM,Charlotte Gainsbourg,80,2010,70
579,Two Men With The Blues,Willie Nelson & Wynton Marsalis,80,2008,78
580,Mourning in America and Dreaming in Color,Brother Ali,80,2012,80
581,C'mon,Low,80,2011,76
582,Utopia Defeated,D.D. Dumbo,80,2016,78
583,Sun Coming Down,Ought,80,2015,82
584,Distractions,Sauna Youth,80,2015,85
585,Ancient Melodies Of The Future,Built To Spill,80,2001,88
586,We Are the 21st Century Ambassadors of Peace & Magic,Foxygen,80,2013,86
587,The Greatest,Cat Power,80,2006,83
588,Cashmere,Swet Shop Boys,80,2016,81
589,Get to Heaven,Everything Everything,80,2015,85
590,Candylion,Gruff Rhys,80,2007,83
591,Director's Cut,Kate Bush,80,2011,79
592,White Chalk,PJ Harvey,80,2007,85
593,Up On The Ridge,Dierks Bentley,80,2010,83
594,Mr. M,Lambchop,80,2012,75
595,Ouroboros,Ray LaMontagne,80,2016,78
596,Saturnalia,The Gutter Twins,80,2008,88
597,A Loud Bash of Teenage Feelings,Beach Slang,80,2016,71
598,Keep It Hid,Dan Auerbach,80,2009,88
599,Jaiyede Afro,Orlando Julius,80,2014,74
600,Three Fact Fader,Engineers,80,2009,79
601,A Rush Of Blood To The Head,Coldplay,80,2002,88
602,The Childhood of a Leader [OST],Scott Walker,80,2016,84
603,Mystery Glue,Graham Parker & the Rumour,80,2015,79
604,Stay Gold,Butch Walker,80,2016,89
605,The Disco's of Imhotep,Hieroglyphic Being,80,2016,70
606,Cruise Your Illusion,Milk Music,80,2013,89
607,The Slow Wonder,A.C. Newman,80,2004,86
608,Hate,The Delgados,80,2003,86
609,Yanqui U.X.O.,Godspeed You! Black Emperor,80,2002,89
610,Sound of Water,Saint Etienne,80,2000,72
611,Pajo,Pajo,80,2005,87
612,The Bones of What You Believe,Chvrches,80,2013,88
613,The Besnard Lakes Are The Roaring Night,The Besnard Lakes,80,2010,82
614,Super Taranta!,Gogol Bordello,80,2007,81
615,The Libertines,The Libertines,80,2004,90
616,The Sun's Tirade,Isaiah Rashad,80,2016,82
617,Gulag Orkestar,Beirut,80,2006,90
618,The Way The Wind Blows,A Hawk and a Hacksaw,80,2006,88
619,Nootropics,Lower Dens,80,2012,86
620,My Krazy Life,Y.G.,80,2014,79
621,3001: A Laced Odyssey,Flatbush Zombies,80,2016,78
622,13 & God,13 & God,80,2005,79
623,Are You Alone?,Majical Cloudz,80,2015,74
624,All My Demons Greeting Me as a Friend,Aurora,80,2016,87
625,Be Small,Here We Go Magic,80,2015,76
626,Tetsuo & Youth,Lupe Fiasco,80,2015,84
627,The Eldritch Dark,Blood Ceremony,80,2013,88
628,Django Django,Django Django,80,2012,86
629,The Con,Tegan and Sara,80,2007,86
631,Pawn Shoppe Heart,The Von Bondies,80,2004,88
632,American III: Solitary Man,Johnny Cash,80,2000,88
633,Thirteen Tales From Urban Bohemia,Dandy Warhols,80,2000,90
634,All Of A Sudden I Miss Everyone,Explosions in the Sky,80,2007,85
635,Give the People What They Want,Sharon Jones & the Dap-Kings,80,2014,72
636,Denies The Day's Demise,Daedelus,80,2006,80
637,12 Bit Blues,Kid Koala,80,2012,80
638,DS2,Future,80,2015,71
639,Fall Heads Roll,The Fall,80,2005,91
640,Ya-Ka-May,Galactic,80,2010,73
641,The Angels Of Light Sing 'Other People',Angels Of Light,80,2005,85
642,Small Town Heroes,Hurray for the Riff Raff,80,2014,72
643,Exai,Autechre,80,2013,78
644,Snake Pit,Harvey Mandel,80,2016,83
645,Georgia,Georgia,80,2015,65
646,Worthy,Bettye LaVette,80,2015,82
647,Mariachi El Bronx (II),Mariachi El Bronx,80,2011,68
648,Libraries,The Love Language,80,2010,76
649,Infiniheart,Chad VanGaalen,80,2005,85
650,Silver Age,Bob Mould,80,2012,74
651,A Place To Bury Strangers,A Place to Bury Strangers,80,2007,87
652,The Take Off and Landing of Everything,Elbow,80,2014,82
653,Pretty Years,Cymbals Eat Guitars,80,2016,74
654,Going Down in History,Waco Brothers,80,2016,90
655,Tournament Of Hearts,The Constantines,80,2005,88
656,Night Thoughts,Suede,80,2016,81
657,Hot Dreams,Timber Timbre,80,2014,84
658,Club Meds,Dan Mangan,80,2015,71
659,Under The Skin,Lindsey Buckingham,80,2006,76
660,Still Life,Kevin Morby,80,2014,90
661,The Good Fight,Oddisee,80,2015,78
662,Give a Glimpse of What Yer Not,Dinosaur Jr.,80,2016,77
663,Boys Outside,Steve Mason,80,2010,83
664,Dive,Tycho,80,2011,89
665,EP,Beth Ditto,80,2011,82
666,Monsters Of Folk,Monsters Of Folk,80,2009,87
667,Songs For Christmas,Sufjan Stevens,80,2006,86
668,The Grind Date,De La Soul,80,2004,89
669,Miss Machine,The Dillinger Escape Plan,80,2004,86
670,Wig In A Box: Songs From & Inspired By Hedwig & The Angry Inch,Various Artists,80,2003,90
671,Monday At The Hug & Pint,Arab Strap,80,2003,90
672,Electric Circus,Common,80,2002,84
673,I'll Be Lightning,Liam Finn,80,2008,81
674,Yes Lawd!,NxWorries,80,2016,82
675,Pale Horses,mewithoutYou,80,2015,84
676,Cascade,William Basinski,80,2015,88
677,Album,Girls,80,2009,81
678,Run Fast,The Julie Ruin,80,2013,79
679,Arabia Mountain,Black Lips,80,2011,85
680,Now Here Is Nowhere,Secret Machines,80,2004,90
681,The Craft,Blackalicious,80,2005,78
682,Last Days Of Wonder,The Handsome Family,80,2006,78
683,Twins,Ty Segall,80,2012,87
684,Apricity,Syd Arthur,80,2016,68
685,Rewind the Film,Manic Street Preachers,80,2013,80
686,Monkey Minds in the Devil's Time,Steve Mason,80,2013,85
687,Breaks in the Armor,Crooked Fingers,80,2011,83
688,Nashville,Josh Rouse,80,2005,90
689,The Wondershow Of The World,"Bonnie ""Prince"" Billy & The Cairo Gang",80,2010,80
690,Butter,Hudson Mohawke,80,2009,87
691,Ruins,Grouper,80,2014,81
692,One Breath,Anna Calvi,80,2013,80
693,Unglamorous,Lori McKenna,80,2007,72
694,Down Like Gold,Champs,80,2014,85
695,Tin Star,Lindi Ortega,80,2013,90
696,Invisible Hour,Joe Henry,80,2014,80
697,Visions,Grimes,80,2012,89
698,Thunderbitch,Thunderbitch,80,2015,85
699,Hey Mr Ferryman,Mark Eitzel,80,2017,86
701,Swing Lo Magellan,Dirty Projectors,80,2012,86
702,"Gather, Form & Fly",Megafaun,80,2009,84
703,Party Intellectuals,Marc Ribot's Ceramic Dog,80,2008,84
704,Emerald City,John Vanderslice,80,2007,77
705,Untouchables,Korn,80,2002,85
706,The Contino Sessions,Death in Vegas,80,1999,82
707,"Oh My God, Charlie Darwin",The Low Anthem,80,2009,85
708,Happy New Year,Oneida,80,2006,82
709,Holiday,Port St. Willow,80,2013,83
710,The Invisible Way,Low,80,2013,82
711,Half The Perfect World,Madeleine Peyroux,80,2006,90
712,A Man Alive,Thao & the Get Down Stay Down,80,2016,79
713,Slow Focus,Fuck Buttons,80,2013,84
714,Okonokos [Live],My Morning Jacket,80,2006,88
715,Pillars of Ash,Black Tusk,80,2016,72
716,Soul Power,Curtis Harding,80,2014,88
717,The Coral Sea,Patti Smith and Kevin Shields,80,2008,88
718,M.A.D.E.,Scarface,80,2007,82
719,Confessions On A Dance Floor,Madonna,80,2005,87
720,Furr,Blitzen Trapper,80,2008,89
721,Golden Sings That Have Been Sung,Ryley Walker,80,2016,75
722,Fever Dream,Ben Watt,80,2016,88
723,Broken Knowz,Jay Daniel,80,2016,90
724,In and Out of Youth and Lightness,Young Widows,80,2011,90
725,A Lifetime Of Temporary Relief,Low,80,2004,87
726,Twoism [EP],Boards of Canada,80,2002,85
727,Outside Closer,Hood,80,2005,86
728,The Scene Of The Crime,Bettye LaVette,79,2007,90
729,Fleeting,Glenn Jones,79,2016,80
730,Free All the Monsters,The Bats,79,2011,89
731,Keep It Like A Secret,Built To Spill,79,1999,90
732,Physicalist,Forma,79,2016,75
733,Vapours,Islands,79,2009,88
734,Psychic,Darkside,79,2013,88
735,Flight Of The Conchords,Flight Of The Conchords,79,2008,81
736,Tromatic Reflexxions,Von Sudenfed,79,2007,86
737,Junun,Shye Ben-Tzur,79,2015,76
738,Max Richter: Sleep [8 Hour Version],Max Richter,79,2015,77
739,The Face of Mount Molehill,Neil Cowley Trio,79,2012,88
740,In A Town Called Addis,Dub Colossus,79,2008,81
741,On Your Own Love Again,Jessica Pratt,79,2015,82
742,II,The Psychic Paramount,79,2011,88
743,VEGA INTL. Night School,Neon Indian,79,2015,86
744,Wavering Radiant,Isis,79,2009,83
745,Wenu Wenu,Omar Souleyman,79,2013,74
746,It's Album Time,Todd Terje,79,2014,86
747,Gang Of Losers,The Dears,79,2006,85
748,Dissed and Dismissed,Tony Molina,79,2014,85
749,Felt 3: A Tribute To Rosie Perez,Felt,79,2009,90
750,Alegranza,El Guincho,79,2008,88
751,Out Of The Shadow,Rogue Wave,79,2004,75
752,The Ship,Brian Eno,79,2016,74
753,Lenses Alien,Cymbals Eat Guitars,79,2011,83
754,Long Island,Endless Boogie,79,2013,74
755,Beyond,Dinosaur Jr.,79,2007,90
756,Vertigo,The Necks,79,2015,90
757,"Apocalypse, Girl",Jenny Hval,79,2015,84
758,Near to the Wild Heart of Life,Japandroids,79,2017,78
759,Noble Beast,Andrew Bird,79,2009,89
760,Son,Juana Molina,79,2006,82
761,Brill Bruisers,The New Pornographers,79,2014,82
762,Didn't He Ramble,Glen Hansard,79,2015,71
763,Already Free,Derek Trucks Band,79,2009,89
764,Ouliposaliva,Angil & The Hidden Tracks,79,2008,87
765,The Grey Album,Danger Mouse,79,2004,81
766,Built On Squares,Starlight Mints,79,2003,82
767,She Has No Strings Apollo,Dirty Three,79,2003,74
768,Sea Change,Beck,79,2002,90
769,Older Than My Old Man Now,Loudon Wainwright III,79,2012,79
771,Sol Invictus,Faith No More,79,2015,79
772,I Am Very Far,Okkervil River,79,2011,84
773,All That You Can't Leave Behind,U2,79,2000,80
774,Nothing's Real,Shura,79,2016,85
775,In Prism,Polvo,79,2009,56
776,Daze,Brood Ma,79,2016,83
777,So This Is Goodbye,Junior Boys,79,2006,89
778,My Dinosaur Life,Motion City Soundtrack,79,2010,76
779,Peacers,Peacers,79,2015,89
780,Band of Brothers,Willie Nelson,79,2014,68
781,Seeds,Georgia Anne Muldrow,79,2012,83
782,Blisters in the Pit of My Heart,Martha,79,2016,78
783,Grievances,Rolo Tomassi,79,2015,77
784,Runner,The Sea and Cake,79,2012,88
785,Hold Time,M. Ward,79,2009,88
786,No More Stories Are Told Today I'm Sorry They Washed Away No More Stories the World Is Grey I'm Tired Let's Wash Away,Mew,79,2009,90
787,Murray's Revenge,Murs,79,2006,86
788,I Am a Problem: Mind in Pieces,Wolf Eyes,79,2015,78
789,The Unfairground,Kevin Ayers,79,2008,79
790,Desperation,Oblivians,79,2013,72
791,Same As You,Polar Bear,79,2015,74
792,The Book of David,DJ Quik,79,2011,82
793,Reconstruction Site,The Weakerthans,79,2003,87
794,Twice,The Tyde,79,2003,90
795,No More Shall We Part,Nick Cave & the Bad Seeds,79,2001,89
796,In The Mode,Roni Size/Reprazent,79,2000,80
797,Glitter And Doom Live,Tom Waits,79,2009,87
798,Desire,Pharoahe Monch,79,2007,89
799,Standards,Into It. Over It.,79,2016,68
800,"Desperate Youth, Blood Thirsty Babes",TV on the Radio,79,2004,83
801,DSU,Alex G,79,2014,79
802,Soul Music,Special Request,79,2013,80
803,Child Ballads,Jefferson Hamer,79,2013,91
804,Micah P. Hinson And The Gospel Of Progress,Micah P. Hinson,79,2005,85
805,Love King,The-Dream,79,2010,84
806,Shake The Sheets,Ted Leo & The Pharmacists,79,2004,86
807,Retriever,Ron Sexsmith,79,2004,82
808,Tio Bitar,Dungen,79,2007,83
809,"Father, Son, Holy Ghost",Girls,79,2011,87
810,4,Dungen,79,2008,82
811,"Pas Pire Pop, I Love You So Much",Avec le Soleil Sortant de Sa Bouche,79,2017,79
812,Year Of The Gentleman,Ne-Yo,79,2008,87
813,Before The World Was Big,Girlpool,79,2015,80
814,"Alright, Still",Lily Allen,79,2007,77
815,La  Vie Est Belle,Petite Noir,79,2015,66
816,Brooklynati,Tanya Morgan,79,2009,87
817,Cripple Crow,Devendra Banhart,79,2005,81
818,His Hands,Candi Staton,79,2006,83
819,Pedestrian Verse,Frightened Rabbit,79,2013,81
820,One of Us Is the Killer,The Dillinger Escape Plan,79,2013,81
821,What We All Come To Need,Pelican,79,2009,82
822,Backspacer,Pearl Jam,79,2009,89
823,Sexwitch,Sexwitch,79,2015,72
824,Take Me to the Land of Hell,Yoko Ono Plastic Ono Band,79,2013,89
825,In Ghost Colours,Cut Copy,79,2008,89
826,Hip Hop Is Dead,Nas,79,2006,88
827,Schmilco,Wilco,79,2016,78
828,I AKA I,Ash Koosha,79,2016,71
829,Beast,DevilDriver,79,2011,81
830,D,White Denim,79,2011,83
831,Distortion,Magnetic Fields,79,2008,72
832,The End Is Near,The New Year,79,2004,89
833,Mary Star of the Sea,Zwan,79,2003,85
834,Nextdoorland,The Soft Boys,79,2002,89
835,Live at Convocation Hall,Hayden,79,2002,81
836,Restarter,Torche,79,2015,65
837,Skelethon,Aesop Rock,79,2012,82
838,90059,Jay Rock,79,2015,74
839,Oddfellows,Tomahawk,79,2013,71
841,"22, A Million",Bon Iver,87,2016,82
842,Phantom Power,Super Furry Animals,87,2003,90
843,Colfax,The Delines,87,2014,75
844,Nashville Obsolete,Dave Rawlings Machine,87,2015,71
845,DFA Remixes: Chapter 1,The DFA,87,2006,84
846,Mass Romantic,The New Pornographers,87,2000,87
847,Let England Shake,PJ Harvey,86,2011,86
848,Sound Of Silver,LCD Soundsystem,86,2007,85
849,Body Talk,Robyn,86,2010,90
850,Hollowed,Ital Tek,86,2016,79
851,Bécs,Fennesz,86,2014,84
852,Who Kill,tUnE-yArDs,86,2011,81
853,This Is Still It,The Method Actors,86,2010,83
854,One Word Extinguisher,Prefuse 73,86,2003,90
855,Time (The Revelator),Gillian Welch,86,2001,90
856,Comicopera,Robert Wyatt,86,2007,86
857,Welcome To Mali,Amadou & Mariam,86,2009,81
858,A Sailor's Guide to Earth,Sturgill Simpson,86,2016,81
859,Natalie Prass,Natalie Prass,86,2015,81
860,Mirrored,Battles,86,2007,80
861,Are We There,Sharon Van Etten,86,2014,85
862,Bon Iver,Bon Iver,86,2011,85
863,How I Got Over,The Roots,86,2010,89
864,Love & Hate,Michael Kiwanuka,86,2016,84
865,From the Sea to the Land Beyond [OST],British Sea Power,86,2013,84
866,The  Blackest Beautiful,Letlive,86,2013,89
867,Book Burner,Pig Destroyer,86,2012,70
868,"Dead Cities, Red Seas & Lost Ghosts",M83,86,2004,90
869,Fixed::Context [EP],Labradford,86,2001,81
870,Hercules And Love Affair,Hercules & Love Affair,86,2008,70
871,Minute by Minute,The James Hunter Six,86,2013,78
872,Syro,Aphex Twin,86,2014,80
873,blackSUMMERS'night (2016),Maxwell,86,2016,82
874,Young Man In America,Anaïs Mitchell,86,2012,80
875,Centres,Ian William Craig,86,2016,75
876,Life Is People,Bill Fay,86,2012,81
877,Teens of Denial,Car Seat Headrest,86,2016,82
878,Without a Net,Wayne Shorter,86,2013,53
879,Estudando o Pagode,Tom Zé,86,2006,88
880,Robyn,Robyn,86,2008,87
881,Separation Sunday,The Hold Steady,86,2005,90
882,The Decline Of British Sea Power,British Sea Power,86,2003,86
883,You Forgot It In People,Broken Social Scene,86,2003,91
884,Quicksand / Cradlesnakes,Califone,86,2003,89
885,Rings Around The World,Super Furry Animals,86,2002,91
886,Blues Dream,Bill Frisell,86,2001,86
887,Run the Jewels,Killer Mike,86,2013,86
888,Minimum-Maximum [Live],Kraftwerk,86,2005,88
889,Once I Was an Eagle,Laura Marling,86,2013,85
890,Kaleidoscope Dream,Miguel,86,2012,86
891,"Thunder, Lightning, Strike",The Go! Team,86,2005,86
892,Halcyon Digest,Deerhunter,86,2010,86
893,Dissociation,The Dillinger Escape Plan,86,2016,81
894,Dark Energy,Jlin,86,2015,69
895,Floreat,Mara Carlyle,86,2011,83
896,Beautifully Human: Words And Sounds Vol. 2,Jill Scott,86,2004,87
897,Welcome Interstate Managers,Fountains of Wayne,86,2003,84
898,Midwest Farmer's Daughter,Margo Price,86,2016,79
899,Assume Crash Position,Konono No. 1,86,2010,75
900,Luxury Problems,Andy Stott,86,2012,85
901,Space Is Only Noise,Nicolas Jaar,86,2011,86
902,Midlife: A Beginner's Guide To Blur,Blur,86,2009,87
903,45:33,LCD Soundsystem,86,2007,78
904,Platinum,Miranda Lambert,86,2014,81
905,LCD Soundsystem,LCD Soundsystem,86,2005,80
906,The Blade,Ashley Monroe,86,2015,82
907,This Is Where I Live,William Bell,86,2016,82
908,It's Great to Be Alive! [Live],Drive-By Truckers,86,2015,85
909,3 Pears,Dwight Yoakam,86,2012,71
911,The Lemon Of Pink,The Books,86,2003,87
912,The Wind,Warren Zevon,86,2003,90
913,Little Sparrow,Dolly Parton,86,2001,88
914,All Hands On The Bad One,Sleater-Kinney,86,2000,89
915,Acid Rap,Chance the Rapper,86,2013,87
916,Surf,Donnie Trumpet & The Social Experiment,86,2015,82
917,David Comes To Life,Fucked Up,86,2011,80
918,Tell Tale Signs: The Bootleg Series Vol. 8,Bob Dylan,86,2008,89
919,Lost In the Dream,The War on Drugs,86,2014,86
920,L'Enfant Sauvage,Gojira,86,2012,87
921,Nerissimo,Teho Teardo,86,2016,73
922,Way Out Weather,Steve Gunn,86,2014,85
923,Haw,Hiss Golden Messenger,86,2013,83
924,The Intercontinentals,Bill Frisell,86,2003,88
925,Ocean's Eleven OST,David Holmes,86,2001,89
926,The Convincer,Nick Lowe,86,2001,88
927,The  Weird and Wonderful,The Marmozets,86,2014,90
928,untitled unmastered.,Kendrick Lamar,86,2016,84
929,Poison Season,Destroyer,86,2015,79
930,When the Heart Emerges Glistening,Ambrose Akinmusire,85,2011,90
931,Shaking the Habitual,The Knife,85,2013,85
932,BLACKsummers'night,Maxwell,85,2009,89
933,Spiral Shadow,Kylesa,85,2010,76
934,The Agent Intellect,Protomartyr,85,2015,82
935,Rook,Shearwater,85,2008,86
936,Stranger to Stranger,Paul Simon,85,2016,79
937,Party Music,The Coup,85,2001,88
938,Life...The Best Game In Town,Harvey Milk,85,2008,74
939,50 Words for Snow,Kate Bush,85,2011,83
940,Mermaid Avenue: The Complete Sessions,Billy Bragg/Wilco,85,2012,80
941,Fox Confessor Brings The Flood,Neko Case,85,2006,90
942,"I'm Wide Awake, It's Morning",Bright Eyes,85,2005,80
943,Fires Within Fires,Neurosis,85,2016,74
944,New Brigade,Iceage,85,2011,79
945,Malibu,Anderson Paak,85,2016,85
946,So Beautiful or So What,Paul Simon,85,2011,82
947,Third,Portishead,85,2008,83
948,Holopaw,Holopaw,85,2003,90
949,Don't Give Up On Me,Solomon Burke,85,2002,83
950,Didn't It Rain,Songs: Ohia,85,2002,90
951,Girls Can Tell,Spoon,85,2001,89
952,Late Registration,Kanye West,85,2005,88
953,Impossible Truth,William Tyler,85,2013,68
954,Stay Positive,The Hold Steady,85,2008,78
955,Reality Show,Jazmine Sullivan,85,2015,87
956,Bleach: Deluxe Edition,Nirvana,85,2009,88
957,Christine and the Queens,Christine and the Queens,85,2015,83
958,Loyalty,The Weather Station,85,2015,90
959,Hail To The Thief,Radiohead,85,2003,88
960,Magnolia Electric Co.,Songs: Ohia,85,2003,88
961,Pause,Four Tet,85,2001,87
962,Laulu Laakson Kukista,Paavoharju,85,2008,90
963,Helplessness Blues,Fleet Foxes,85,2011,88
964,Mezmerize,System Of A Down,85,2005,84
965,Purple,Baroness,85,2015,86
966,Beauty And The Beat,Edan,85,2005,90
967,Twin Cinema,The New Pornographers,85,2005,89
968,Benji,Sun Kil Moon,85,2014,84
969,For Hero: For Fool,Subtle,85,2006,89
970,Godfather,Wiley,85,2017,70
971,Seasons of My Soul,Rumer,85,2012,74
972,New Moon,Elliott Smith,85,2007,88
973,The Drift,Scott Walker,85,2006,81
974,Over and Even,Joan Shelley,85,2015,90
975,Streetcore,Joe Strummer & The Mescaleros,85,2003,85
976,Happy Songs For Happy People,Mogwai,85,2003,88
977,Source Tags & Codes,...And You Will Know Us by the Trail of Dead,85,2002,89
978,Greatest Hits: The Evidence,Ice-T,85,2000,85
979,My Favorite Picture of You,Guy Clark,85,2013,86
981,Old Ideas,Leonard Cohen,85,2012,77
982,Left Of The Dial: Dispatches From The '80s Underground,Various Artists,85,2004,78
983,Transatlanticism,Death Cab for Cutie,85,2003,88
984,Run To Ruin,Nina Nastasia,85,2003,83
985,Dongs of Sevotion,Smog,85,2000,85
986,The Meadowlands,The Wrens,85,2003,90
987,Celebration Day [Live],Led Zeppelin,85,2012,83
988,Boys And Girls In America,The Hold Steady,85,2006,84
989,Elaenia,Floating Points,85,2015,85
990,Big Inner,Matthew E. White,85,2012,86
991,Ys,Joanna Newsom,85,2006,83
992,Ode,Brad Mehldau Trio,85,2012,80
993,Supermodified,Amon Tobin,85,2000,86
994,Revolution,Miranda Lambert,85,2009,90
995,Enter The Vaselines,The Vaselines,85,2009,82
996,The Impossible Kid,Aesop Rock,85,2016,85
997,Tomorrow's Harvest,Boards of Canada,85,2013,85
998,Architect,C Duncan,85,2015,89
999,Winter Wheat,John K. Samson,85,2016,83
1000,Crazy Ex-Girlfriend,Miranda Lambert,85,2007,86
1001,New Bermuda,Deafheaven,85,2015,86
1002,Live in Paris,Sleater-Kinney,85,2017,90
1003,Bonxie,Stornoway,85,2015,76
1004,The  Harrow and the Harvest,Gillian Welch,85,2011,76
1005,One Beat,Sleater-Kinney,85,2002,90
1006,High Violet,The National,85,2010,89
1007,This Right Here Is Buck 65,Buck 65,85,2005,89
1008,The Singles,Goldfrapp,85,2012,83
1009,Beyoncé,Beyoncé,85,2013,81
1010,Cole's Corner,Richard Hawley,85,2005,88
1011,Clearing the Path to Ascend,Yob,85,2014,84
1012,Emeritus,Scarface,85,2008,83
1013,Lookaftering,Vashti Bunyan,85,2005,81
1014,R.A.P. Music,Killer Mike,85,2012,85
1015,This Is Our Science,Astronautalis,85,2011,76
1016,Levon Vincent,Levon Vincent,85,2015,76
1017,Before Today,Ariel Pink's Haunted Graffiti,85,2010,80
1018,I See You,The xx,85,2017,83
1019,Wind's Poem,Mount Eerie,85,2009,86
1020,Singing Bones,The Handsome Family,85,2003,87
1021,Fever To Tell,Yeah Yeah Yeahs,85,2003,83
1022,The Ugly Organ,Cursive,85,2003,89
1023,The Last Broadcast,Doves,85,2002,90
1024,Ocean Roar,Mount Eerie,85,2012,84
1025,Kaputt,Destroyer,84,2011,87
1026,Yonder Is The Clock,The Felice Brothers,84,2009,86
1027,Geogaddi,Boards of Canada,84,2002,91
1028,Hearts Of Oak,Ted Leo & The Pharmacists,84,2003,89
1029,Fantasy Empire,Lightning Bolt,84,2015,71
1030,Tomorrow Is My Turn,Rhiannon Giddens,84,2015,85
1031,Bow Down To The Exit Sign,David Holmes,84,2000,88
1032,Indestructible Machine,Lydia Loveless,84,2011,87
1033,Singing Saw,Kevin Morby,84,2016,78
1034,Light Up Gold,Parquet Courts,84,2013,83
1035,1991 [EP],Azealia Banks,84,2012,88
1036,Electric Dirt,Levon Helm,84,2009,90
1037,Serena-Maneesh,Serena-Maneesh,84,2006,76
1038,Before the Dawn [Live],Kate Bush,84,2016,81
1039,The Great Pretenders,Mini Mansions,84,2015,86
1040,A World Lit Only by Fire,Godflesh,84,2014,74
1041,The Way I'm Livin',Lee Ann Womack,84,2014,85
1042,Emily's D+Evolution,Esperanza Spalding,84,2016,77
1043,Medulla,Björk,84,2004,88
1044,Blue Cathedral,Comets On Fire,84,2004,71
1045,Old Ramon,Red House Painters,84,2001,87
1046,Mwng,Super Furry Animals,84,2000,89
1047,Play,Moby,84,1999,91
1048,Apollo Kids,Ghostface Killah,84,2010,81
1049,Cancer4Cure,El-P,84,2012,86
1051,Excavation,The Haxan Cloak,84,2013,86
1052,Sugar Mountain: Live At Canterbury House 1968,Neil Young,84,2008,74
1053,Fall Be Kind [EP],Animal Collective,84,2009,70
1054,ONoffON,Mission of Burma,84,2004,85
1055,2,All Girl Summer Fun Band,84,2003,90
1056,Gimme Fiction,Spoon,84,2005,89
1057,Blood Bitch,Jenny Hval,84,2016,76
1058,Feels,Animal Collective,84,2005,88
1059,Down to Believing,Allison Moorer,84,2015,84
1060,Yeezus,Kanye West,84,2013,76
1061,Bird Songs,Joe Lovano Us Five,84,2011,84
1062,Ten [Reissue],Pearl Jam,84,2009,90
1063,Ga Ga Ga Ga Ga,Spoon,84,2007,87
1064,In My Mind,BJ the Chicago Kid,84,2016,72
1065,Sometimes the Blues is Just a Passing Bird,The Tallest Man on Earth,84,2010,86
1066,Takk...,Sigur Rós,84,2005,88
1067,MCII,Mikal Cronin,84,2013,84
1068,The Serpent & the Sphere,Agalloch,84,2014,82
1069,Nomad,Bombino,84,2013,83
1070,Copia,Eluvium,84,2007,79
1071,The Black Album,Jay-Z,84,2003,87
1072,OST,Lost In Translation,84,2003,86
1073,Blood Money,Tom Waits,84,2002,87
1074,"The  Worse Things Get, the Harder I Fight, the Harder I Fight, the More I Love You",Neko Case,84,2013,81
1075,My Life In The Bush Of Ghosts [2006 Version],Brian Eno + David Byrne,84,2006,85
1076,Introducing Karl Blau,Karl Blau,84,2016,64
1077,Burn Your Fire for No Witness,Angel Olsen,84,2014,83
1078,Living for a Song: A Tribute to Hank Cochran,Jamey Johnson,84,2012,89
1079,Imidiwan: Companions,Tinariwen,84,2009,80
1080,The Crane Wife,The Decemberists,84,2006,88
1081,Extraordinary Machine,Fiona Apple,84,2005,88
1082,A.H.A.T.H.H.A.F.T.C.T.T.C.O.T.E.,True Widow,84,2011,80
1083,The Pretty Toney Album,Ghostface Killah,84,2004,82
1084,Yoshimi Battles The Pink Robots,The Flaming Lips,84,2002,91
1085,The Beginning Stages Of...,The Polyphonic Spree,84,2002,70
1086,Ten,Jason Moran,84,2010,76
1087,Dark Days/Light Years,Super Furry Animals,84,2009,78
1088,Ghosts Of The Great Highway,Sun Kil Moon,84,2003,89
1089,Varmints,Anna Meredith,84,2016,75
1090,These Were The Earlies,The Earlies,84,2005,85
1091,Sweet Warrior,Richard Thompson,84,2007,87
1092,Tarot Sport,Fuck Buttons,84,2009,81
1093,Entomology,Josef K,84,2006,85
1094,Our Love,Caribou,84,2014,81
1095,Heavy Ghost,DM Stith,84,2009,83
1096,Winter Hymn Country Hymn Secret Hymn,Do Make Say Think,84,2003,85
1097,Yoko,Beulah,84,2003,90
