id,naslov,avtor,ocena_kritikov,leto,ocena_ljudi
122,Historicity,Vijay Iyer Trio,87,2009,80
123,Too Bright,Perfume Genius,87,2014,83
124,The Town And The City,Los Lobos,87,2006,86
125,World Without Tears,Lucinda Williams,87,2003,87
126,Cold House,Hood,87,2001,85
127,Things We Lost In The Fire,Low,87,2001,88
128,The Seer,Swans,87,2012,82
129,Puberty 2,Mitski,87,2016,83
130,You Will Never Be One of Us,NAILS,87,2016,63
131,Summertime '06,Vince Staples,87,2015,85
132,Raising Sand,Robert Plant And Alison Krauss,87,2007,88
133,"Now, More Than Ever",Jim Guthrie,87,2004,87
134,And Their Refinement Of The Decline,Stars Of The Lid,87,2007,72
135,Let's Stay Friends,Les Savy Fav,87,2007,82
136,Vulnicura,Björk,87,2015,83
137,Franz Ferdinand,Franz Ferdinand,87,2004,86
138,"I Love You, Honeybear",Father John Misty,87,2015,84
139,Virgins,Tim Hecker,87,2013,83
141,Human Performance,Parquet Courts,82,2016,81
142,"Grey Tickles, Black Pressure",John Grant,82,2015,74
143,Writer's Block,Peter Bjorn and John,82,2007,86
144,Treasure House,Cat's Eyes,82,2016,90
145,King Of Jeans,Pissed Jeans,82,2009,79
146,Piteous Gate,M.E.S.H.,82,2015,85
147,Third Law,Roly Porter,82,2016,73
148,Sojourner,Magnolia Electric Co.,82,2007,78
149,Slave Ambient,The War on Drugs,82,2011,81
150,Townes,Steve Earle,82,2009,80
151,Pattern + Grid World,Flying Lotus,82,2010,81
152,The Dreaming Room,Laura Mvula,82,2016,82
153,Silent Alarm,Bloc Party,82,2005,89
154,Epic Jammers and Fortunate Little Ditties,"Bonnie ""Prince"" Billy",82,2016,76
155,Mid Air,Paul Buchanan,82,2012,80
156,For the Ghosts Within,Gilad Atzmon,82,2010,89
157,De-Loused In The Comatorium,The Mars Volta,82,2003,91
158,Grassed Inn,Blank Realm,82,2014,74
159,One Day I'm Going To Soar,Dexys,82,2012,80
160,Little Seeds,Shovels & Rope,82,2016,63
161,Furnaces,Ed Harcourt,82,2016,74
162,"Bears, Mayors, Scraps & Bones",Cancer Bats,82,2010,72
163,Doomsdayer's Holiday,Grails,82,2008,74
164,Electric Version,The New Pornographers,82,2003,83
165,Point,Cornelius,82,2002,86
166,The Facts Of Life,Black Box Recorder,82,2001,83
167,The Stage Names,Okkervil River,82,2007,88
168,Sauna,Mount Eerie,82,2015,77
169,Silence Yourself,Savages,82,2013,86
170,Overgrown,James Blake,82,2013,86
171,Learning,Perfume Genius,82,2010,83
172,City of Refuge,Abigail Washburn,82,2011,90
173,The Magic Position,Patrick Wolf,82,2007,90
174,Mutilator Defeated at Last,Thee Oh Sees,82,2015,85
175,Past Life Martyred Saints,EMA,82,2011,76
176,We Shall Overcome: The Seeger Sessions,Bruce Springsteen,82,2006,87
177,Where You Go I Go Too,Lindstrom,82,2008,79
178,Lowedges,Richard Hawley,82,2003,91
179,Funeral Mariachi,Sun City Girls,82,2010,76
180,Universal Audio,The Delgados,82,2004,82
181,II Trill,Bun B,82,2008,82
182,A Cosmic Rhythm with Each Stroke,Vijay Iyer,82,2016,75
183,Cortar Todo,Zu,82,2015,83
184,Couple Tracks: Singles 2002-2009,Fucked Up,82,2010,67
185,Wakin on a Pretty Daze,Kurt Vile,82,2013,86
186,Film of Life,Tony Allen,82,2014,90
187,Smoke Ring for My Halo,Kurt Vile,82,2011,80
188,Dig in Deep,Bonnie Raitt,82,2016,68
189,Bad Vibes,Shlohmo,82,2011,75
190,Folklore,16 Horsepower,82,2002,80
191,Murray Street,Sonic Youth,82,2002,87
192,Asleep In The Back,Elbow,82,2002,86
193,Discovery of a World Inside the Moone,The Apples In Stereo,82,2000,78
194,The Secret,Vieux Farka Touré,82,2011,76
195,Matador,Gaz Coombes,82,2015,81
196,Sea When Absent,A Sunny Day in Glasgow,82,2014,82
197,Front Row Seat to Earth,Weyes Blood,82,2016,73
198,An Empty Bliss Beyond This World,The Caretaker,82,2011,85
199,Love Me Back,Jazmine Sullivan,82,2010,90
200,By The Throat,Ben Frost,82,2009,85
201,Midnight At The Movies,Justin Townes Earle,82,2009,86
202,Rather Ripped,Sonic Youth,82,2006,88
203,Desertshore/The Final Report,X-TG,82,2012,83
204,It's Blitz,Yeah Yeah Yeahs,82,2009,83
205,Midnight Sun,The Ghost of a Saber Tooth Tiger,82,2014,80
206,Blank Project,Neneh Cherry,82,2014,74
207,Up to Anything,The Goon Sax,82,2016,84
208,There Is Love In You,Four Tet,82,2010,81
209,Hold On!,The James Hunter Six,82,2016,64
211,Stitches,Califone,82,2013,80
212,Primary Colours,The Horrors,82,2009,90
213,Album Of The Year,The Good Life,82,2004,88
214,Venice,Fennesz,82,2004,76
215,Haha Sound,Broadcast,82,2003,87
216,band red,KaitO,82,2003,91
217,Good Looking Blues,Laika,82,2000,76
218,About Farewell,Alela Diane,81,2013,83
219,False Readings On,Eluvium,81,2016,74
220,Honor Found In Decay,Neurosis,81,2012,78
221,Fading Frontier,Deerhunter,81,2015,84
222,Love Remains,How to Dress Well,81,2010,83
223,Written In Chalk,Buddy & Julie Miller,81,2009,82
224,The Midnight Sun,C Duncan,81,2016,73
225,The Next Day,David Bowie,81,2013,81
226,Holy Ghost,Modern Baseball,81,2016,78
227,Banga,Patti Smith,81,2012,83
228,New Multitudes,Jay Farrar/Will Johnson/Anders Parker/Yim Yames,81,2012,76
229,Tirtha,Vijay Iyer,81,2011,85
230,Get Yer Ya-Ya's Out! The Rolling Stones In Concert [40th Anniversary Deluxe Box Set],The Rolling Stones,81,2009,82
231,Stellular,Rose Elinor Dougall,81,2017,60
232,Gandadiko,Samba Touré,81,2015,79
233,"The  Randy Newman Songbook, Vol. 2",Randy Newman,81,2011,83
234,Burner,Odd Nosdam,81,2005,85
235,Siberia,Polvo,81,2013,84
236,Tarpaper Sky,Rodney Crowell,81,2014,88
237,Total Strife Forever,East India Youth,81,2014,80
238,R.I.P.,Actress,81,2012,84
239,Wonderful Rainbow,Lightning Bolt,81,2003,89
240,Under Construction,Missy Elliott,81,2002,87
241,Songs In Red And Gray,Suzanne Vega,81,2001,84
242,Ivy Tripp,Waxahatchee,81,2015,76
243,Tears Of The Valedictorian,Frog Eyes,81,2007,81
244,More Faithful,No Joy,81,2015,75
245,Lay It Down,Al Green,81,2008,90
246,Aerial,Kate Bush,81,2005,90
247,Expect Delays,Evans the Death,81,2015,76
248,Chosen Lords,Aphex Twin,81,2006,88
249,After,Lady Lamb the Beekeeper,81,2015,78
250,Now You Are One Of Us,The Paper Chase,81,2006,85
251,Somewhere Else,Lydia Loveless,81,2014,83
252,TSOL,Shad,81,2010,83
253,Love Travels At Illegal Speeds,Graham Coxon,81,2006,85
254,Fever Ray,Fever Ray,81,2009,90
255,AM,Arctic Monkeys,81,2013,85
256,Contra,Vampire Weekend,81,2010,68
257,Get Behind Me Satan,The White Stripes,81,2005,83
258,Eric Bachmann,Eric Bachmann,81,2016,46
259,If I've Only One Time Askin',Daniel Romano,81,2015,84
260,Ohnomite,Oh No,81,2012,80
261,Last,The Unthanks,81,2011,81
262,Avi Buffalo,Avi Buffalo,81,2010,81
263,Signal Morning,Circulatory System,81,2009,90
264,Help,Thee Oh Sees,81,2009,86
